FURTO,JARDIM DAS PALMEIRAS,RUA,DOS MONJOLEIROS,,11/8/2016,07:00:00
ROUBO,JARDIM DAS PALMEIRAS,RUA,DRACENAS,245,11/19/2016,13:00:00
FURTO,JARDIM DAS PALMEIRAS,RUA,DRACENAS,398,7/11/2016,03:00:00
ROUBO,JARDIM DAS PALMEIRAS,AVENIDA,INGAS,,6/26/2016,03:00:00
ROUBO,JARDIM DAS PALMEIRAS,AVENIDA,ITAUBAS,4541,6/27/2016,23:30:00
FURTO,JARDIM DAS PALMEIRAS,AVENIDA,ITAUBAS,4861,11/3/2016,06:00:00
FURTO,JARDIM DAS PALMEIRAS,AVENIDA,ITAUBAS,,10/29/2016,15:30:00
FURTO,JARDIM DAS PALMEIRAS,AVENIDA,JEQUITIBAS,1536,8/21/2016,19:00:00
FURTO,JARDIM DAS PALMEIRAS,RUA,MONJOLEIROS,575,11/8/2016,07:20:00
FURTO,JARDIM DAS PALMEIRAS,RUA,PAINEIRAS,,8/4/2016,22:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS PALMEIRAS,RUA,PAINEIRAS,,8/4/2016,22:30:00
FURTO,JARDIM DAS PALMEIRAS,RUA,PEROBAS,12,12/28/2016,22:00:00
USO ILÍCITO DE DROGAS,JARDIM DAS PALMEIRAS,RUA,RUA DAS AVENCAS,2983,5/21/2016,19:20:00
FURTO,JARDIM DAS PALMEIRAS,RUA,RUA DAS AVENCAS,,11/18/2016,18:00:00
ROUBO,JARDIM DAS PALMEIRAS,RUA,RUA DAS DRACENAS,,7/8/2016,22:00:00
FURTO,JARDIM DAS PALMEIRAS,VIA,VIA,,5/19/2016,22:00:00
FURTO,JARDIM DAS PALMEIRAS,RUA,VIOLETAS,,12/4/2016,21:20:00
FURTO,JARDIM DAS PRIMAVERA,RUA,CAVIUNAS,1759,10/21/2016,07:00:00
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS ARDÍSIAS,222,9/10/2016,12:00:00
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS ARDIZIAS,358,10/20/2016,21:00:00
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS ORQUIDEAS,3208,6/14/2016,14:00:00
FURTO,JARDIM DAS PRIMAVERA,AVENIDA,DAS PALMEIRAS,664,11/23/2016,11:00:00
FURTO,JARDIM DAS PRIMAVERA,AVENIDA,DAS PALMEIRAS,,6/18/2016,
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS PRIMAVERAS,4822,11/18/2016,19:00:00
ROUBO,JARDIM DAS PRIMAVERA,RUA,DAS PRIMAVERAS,,12/6/2016,01:30:00
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS PRIMAVERAS,,11/25/2016,01:30:00
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS SALVIAS,222,11/14/2016,03:00:00
ROUBO,JARDIM DAS PRIMAVERA,AVENIDA,DAS SIBIPIRUNAS,5366,6/17/2016,22:40:00
ROUBO,JARDIM DAS PRIMAVERA,AVENIDA,DAS SIBIPIRUNAS,,6/10/2016,04:30:00
FURTO,JARDIM DAS PRIMAVERA,AVENIDA,DAS SIBIPIRUNAS,4913,11/18/2016,03:10:00
FURTO,JARDIM DAS PRIMAVERA,AVENIDA,DAS SIBIPIRUNAS,5366,12/11/2016,08:00:00
FURTO,JARDIM DAS PRIMAVERA,AVENIDA,DAS SIBIPIRUNAS,5867,12/27/2016,17:00:00
FURTO,JARDIM DAS PRIMAVERA,RUA,DAS THUMBERGIAS,208,7/31/2016,08:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS PRIMAVERA,RUA,DOS ABRICOS,548,11/30/2016,18:45:00
ROUBO,JARDIM DAS PRIMAVERA,RUA,DOS ABRICOS,,11/16/2016,18:00:00
ROUBO,JARDIM DAS PRIMAVERA,AVENIDA,DOS JACARANDAS,,11/9/2016,22:00:00
FURTO,JARDIM DAS PRIMAVERA,AVENIDA,DOS JEQUITIBAS,,11/17/2016,12:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS PRIMAVERA,AVENIDA,DOS PINHEIROS,459,10/29/2016,11:30:00
ROUBO,JARDIM DAS PRIMAVERA,AVENIDA,JACARANDÁS,,7/20/2016,19:00:00
ROUBO,JARDIM DAS PRIMAVERA,,,,12/2/2016,21:00:00
USO ILÍCITO DE DROGAS,JARDIM DAS PRIMAVERA,,,,11/30/2016,18:10:00
ROUBO,JARDIM DAS PRIMAVERA,,,,11/15/2016,09:15:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS ROSAS,AVENIDA,ANDRÉ MAGGI,,10/22/2016,21:20:00
HOMICÍDIO DOLOSO,JARDIM DAS ROSAS,AVENIDA,ANDRE MAGGI,,5/23/2016,06:40:00
FURTO,JARDIM DAS ROSAS,RUA,ROSALINA ANA LUDWING,,11/10/2016,15:00:00
USO ILÍCITO DE DROGAS,JARDIM DAS VIOLETAS,RUA,ACALIFAS,367,5/12/2016,22:45:00
FURTO,JARDIM DAS VIOLETAS,AVENIDA,ANDRE MAGGI,5844,8/5/2016,14:10:00
ROUBO,JARDIM DAS VIOLETAS,AVENIDA,ANDRE MAGGI,5910,9/2/2016,17:40:00
ROUBO,JARDIM DAS VIOLETAS,AVENIDA,ANDRE MAGGI,,7/22/2016,22:12:00
ROUBO,JARDIM DAS VIOLETAS,RUA,AZALEIAS,,8/5/2016,16:00:00
FURTO,JARDIM DAS VIOLETAS,RUA,DAS BEGONIAS,239,5/10/2016,
FURTO,JARDIM DAS VIOLETAS,RUA,DAS CANELAS,,5/10/2016,05:30:00
ROUBO,JARDIM DAS VIOLETAS,RUA,DAS DALIAS,505,5/4/2016,11:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS VIOLETAS,RUA,DAS DRACENAS,1530,7/26/2016,17:02:00
ROUBO,JARDIM DAS VIOLETAS,AVENIDA,DAS ITAUBAS,5742,11/22/2016,13:45:00
FURTO,JARDIM DAS VIOLETAS,RUA,DAS JUSSARAS,87,12/19/2016,
FURTO,JARDIM DAS VIOLETAS,RUA,DAS JUSSARAS,,6/4/2016,02:00:00
FURTO,JARDIM DAS VIOLETAS,RUA,DAS SAPUCAIAS,1287,6/23/2016,06:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS VIOLETAS,RUA,DAS SAPUCAIAS,,12/19/2016,19:00:00
FURTO,JARDIM DAS VIOLETAS,RUA,DAS VIOLETAS,1853,12/9/2016,
FURTO,JARDIM DAS VIOLETAS,RUA,DAS VIOLETAS,,5/9/2016,18:40:00
ROUBO,JARDIM DAS VIOLETAS,RUA,DOS CRAVOS,771,9/3/2016,20:00:00
FURTO,JARDIM DAS VIOLETAS,RUA,DOS CRAVOS,998,11/20/2016,09:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS VIOLETAS,RUA,DOS GUAPURUVUS,,9/27/2016,20:01:00
USO ILÍCITO DE DROGAS,JARDIM DAS VIOLETAS,RUA,DOS GUAPURUVUS,,7/6/2016,19:55:00
FURTO,JARDIM DAS VIOLETAS,AVENIDA,DOS JEQUITIBAS,2240,5/30/2016,20:00:00
HOMICÍDIO DOLOSO,JARDIM DAS VIOLETAS,AVENIDA,DOS PINHEIROS,,8/21/2016,03:35:00
FURTO,JARDIM DAS VIOLETAS,RUA,DOS XAXINS,,12/7/2016,13:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM DAS VIOLETAS,RUA,GUAPURUVUS,893,7/28/2016,14:00:00
ROUBO,JARDIM DAS VIOLETAS,RUA,JUÇARAS,,7/20/2016,20:30:00
FURTO,JARDIM DAS VIOLETAS,RUA,,,5/10/2016,06:00:00
FURTO,JARDIM DAS VIOLETAS,RUA,RUA DOS PIQUIS,45,7/3/2016,00:30:00
FURTO,JARDIM DAS VIOLETAS,,,,9/20/2016,13:30:00
HOMICÍDIO DOLOSO,JARDIM DO OURO,RUA,DOS CRISTAIS,,6/1/2016,19:15:00
HOMICÍDIO DOLOSO,JARDIM DO OURO,RUA,DOS CRISTAIS,,6/1/2016,19:40:00
FURTO,JARDIM DO OURO,RUA,DOS CRISTAIS,,12/9/2016,19:00:00
ROUBO,JARDIM DO OURO,,,,8/27/2016,12:20:00
ROUBO,JARDIM DO OURO,,,,5/14/2016,21:00:00
ROUBO,JARDIM IPÊ,AVENIDA,ANDRE MAGGI,,5/20/2016,
FURTO,JARDIM IPÊ,AVENIDA,ANDRE MAGGI,,9/16/2016,19:00:00
ROUBO,JARDIM IPÊ,AVENIDA,ANDRE MAGGI,,12/12/2016,17:40:00
ROUBO,JARDIM DOS TARUMÃS,AVENIDA,DAS AMELIAS,302,12/3/2016,17:15:00
FURTO,ZONA RURAL,ESTRADA,NANCI,,9/28/2016,08:00:00
FURTO,JARDIM EUROPA,AVENIDA,ANDRE MAGGI,3715,10/30/2016,10:00:00
FURTO,JARDIM EUROPA,AVENIDA,ANDRE MAGGI,,10/4/2016,19:00:00
ROUBO,JARDIM EUROPA,AVENIDA,AV. ANDRÉ MAGGI,,7/19/2016,20:00:00
FURTO,JARDIM EUROPA,RUA,ESPANHA,234,10/25/2016,17:05:00
FURTO,JARDIM EUROPA,RUA,ESPANHA,246,8/19/2016,16:30:00
ROUBO,JARDIM EUROPA,RUA,ESPANHA,31-B,7/1/2016,23:30:00
FURTO,JARDIM EUROPA,RUA,INGLATERRA,245,11/17/2016,08:00:00
ROUBO,JARDIM EUROPA,RUA,ITALIA,582,9/11/2016,21:00:00
ROUBO,JARDIM EUROPA,RUA,RUA 02,1721,7/9/2016,18:00:00
FURTO,FLORAIS DO AMAZÔNIA,RUA,2,Q K,8/12/2016,12:00:00
ROUBO,RESID. FLORENÇA,ESTRADA,GLORIA,,9/20/2016,21:30:00
FURTO,RESID. FLORENÇA,AVENIDA,MAGDA PISSINATTI,,6/22/2016,08:00:00
FURTO,RESID. FLORENÇA,AVENIDA,MAGNA PISINAT,69,5/20/2016,23:45:00
FURTO,RESID. FLORENÇA,RUA,MILENA,155,10/8/2016,00:04:00
ROUBO,RESID. FLORENÇA,RUA,MILENA,1305,10/14/2016,22:30:00
ROUBO,RESID. FLORENÇA,RUA,MILENA,,8/22/2016,13:30:00
FURTO,RESID. FLORENÇA,RUA,NAPOLI,1224,8/31/2016,07:30:00
FURTO,RESID. GENTE FELIZ,AVENIDA,DAL BOSCO,585,8/14/2016,15:10:00
ROUBO,RESID. GENTE FELIZ,RUA,PROJETADA 09,36,12/9/2016,07:00:00
ROUBO,RESID. GENTE FELIZ,,,125,6/5/2016,20:00:00
FURTO,RESID. GENTE FELIZ,,,,7/1/2016,22:00:00
HOMICÍDIO DOLOSO,JARDIM IBIRAPUERA,RUA,AUGUSTA,50,12/4/2016,22:00:00
FURTO,JARDIM IBIRAPUERA,RUA,INDIANAPOLIS,95,11/13/2016,08:00:00
FURTO,JARDIM IBIRAPUERA,RUA,INTERLAGOS,255,12/5/2016,17:40:00
FURTO,JARDIM IBIRAPUERA,RUA,AUGUSTA,,9/28/2016,15:00:00
FURTO,JARDIM IBIRAPUERA,RUA,CONGONHAS,70,9/1/2016,06:00:00
ROUBO,JARDIM IBIRAPUERA,RUA,INTERLAGOS,384,8/1/2016,14:20:00
ROUBO,JARDIM IBIRAPUERA,RUA,INTERLAGOS,455,10/7/2016,16:00:00
FURTO,JARDIM IBIRAPUERA,RUA,IPIRANGA,129,11/16/2016,18:00:00
USO ILÍCITO DE DROGAS,JARDIM IBIRAPUERA,RUA,IPIRANGA,,5/10/2016,16:00:00
ROUBO,JARDIM IBIRAPUERA,ESTRADA,JACINTA,,9/13/2016,19:30:00
FURTO,JARDIM IBIRAPUERA,AVENIDA,JOAQUIM SOCREPA,871,5/19/2016,01:00:00
ROUBO,JARDIM IBIRAPUERA,RUA,MORUMBI,159,10/7/2016,12:15:00
ROUBO,JARDIM IBIRAPUERA,,,,8/11/2016,20:45:00
ROUBO,JARDIM IBIRAPUERA,,,,8/1/2016,14:00:00
USO ILÍCITO DE DROGAS,JARDIM IMPERIAL,AVENIDA,ANDRE MAGGI,,10/19/2016,06:10:00
ROUBO,JARDIM IMPERIAL,AVENIDA,ANDRE MAGGI,4464,6/3/2016,10:50:00
USO ILÍCITO DE DROGAS,JARDIM IMPERIAL,AVENIDA,ANDRE MAGGI,,11/30/2016,09:27:00
FURTO,JARDIM IMPERIAL,AVENIDA,ANDRÉ MAGGI,4630,12/27/2016,00:05:00
,JARDIM IMPERIAL,AVENIDA,ANDRÉ MAGGI,4630,12/27/2016,00:05:00
FURTO,JARDIM IMPERIAL,AVENIDA,ANDRÉ MAGGI,5086,7/13/2016,17:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,ANDRE MAGI,5118,12/18/2016,06:00:00
FURTO,JARDIM IMPERIAL,RUA,ANGICOS,1058,5/10/2016,14:00:00
ROUBO,JARDIM IMPERIAL,RUA,ANGICOS,,5/28/2016,20:20:00
ROUBO,JARDIM IMPERIAL,RUA,ARAÇAS,381,12/18/2016,00:00:00
FURTO,JARDIM IMPERIAL,RUA,ARAÇAS,548,11/4/2016,12:00:00
ROUBO,JARDIM IMPERIAL,RUA,ARAÇAS,,10/10/2016,17:00:00
FURTO,JARDIM IMPERIAL,RUA,ARARIBAS,1030,5/13/2016,04:00:00
FURTO,JARDIM IMPERIAL,RUA,BROMELIAS,52,12/17/2016,17:00:00
FURTO,JARDIM IMPERIAL,RUA,BROMELIAS,257,11/29/2016,04:00:00
ROUBO,JARDIM IMPERIAL,RUA,BROMÉLIAS,,12/21/2016,14:30:00
FURTO,JARDIM IMPERIAL,RUA,CAJUEIROS,2690,6/27/2016,
FURTO,JARDIM IMPERIAL,RUA,CAJUEIROS,2739,5/12/2016,19:00:00
ROUBO,JARDIM IMPERIAL,RUA,CEARÁ,,10/21/2016,14:40:00
ROUBO,JARDIM IMPERIAL,RUA,DALIAS,,5/26/2016,22:30:00
FURTO,JARDIM IMPERIAL,RUA,DAS ARARIBAS,1181,10/13/2016,15:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS ARARIBAS,1339,11/18/2016,02:30:00
ROUBO,JARDIM IMPERIAL,RUA,DAS ARARIBAS,,12/1/2016,05:30:00
FURTO,JARDIM IMPERIAL,RUA,DAS DALIAS,22,9/3/2016,07:30:00
FURTO,JARDIM IMPERIAL,RUA,DAS DALIAS,124,5/24/2016,10:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS GARDENIAS,414,5/12/2016,05:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS GARDENIAS,,11/22/2016,10:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS GARDENIAS,480,11/27/2016,05:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,114,11/10/2016,05:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,147,8/27/2016,20:00:00
USO ILÍCITO DE DROGAS,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,280,11/14/2016,03:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,333,5/3/2016,10:15:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,491,9/16/2016,00:40:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,767,12/9/2016,03:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,767,11/16/2016,09:00:00
ROUBO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,774,10/22/2016,07:30:00
FURTO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,1090,7/10/2016,00:15:00
ROUBO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,,12/18/2016,22:00:00
ROUBO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,,10/29/2016,23:00:00
ROUBO,JARDIM IMPERIAL,RUA,DAS MARGARIDAS,,10/19/2016,22:15:00
FURTO,JARDIM IMPERIAL,RUA,DAS NOZES,7,5/22/2016,
FURTO,JARDIM IMPERIAL,RUA,DAS PAINEIRAS,227,12/17/2016,
TRÁFICO ILÍCITO DE DROGAS,JARDIM IMPERIAL,RUA,DAS PAINEIRAS,886,7/16/2016,06:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS PAINEIRAS,1045,10/29/2016,02:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,2453,10/11/2016,13:39:00
FURTO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,2656,9/20/2016,18:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,2656,11/5/2016,19:30:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,2800,12/3/2016,20:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,2873,6/15/2016,13:20:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,2873,12/3/2016,20:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,,5/12/2016,10:40:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,,12/3/2016,20:30:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,,12/17/2016,20:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,,12/10/2016,20:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DAS PALMEIRAS,,10/22/2016,05:40:00
FURTO,JARDIM IMPERIAL,RUA,DAS PEROBAS,1483,12/31/2016,02:00:00
FURTO,JARDIM IMPERIAL,RUA,DAS PEROBAS,932A,11/19/2016,23:00:00
ROUBO,JARDIM IMPERIAL,RUA,DAS PEROBAS,,8/16/2016,18:50:00
ROUBO,JARDIM IMPERIAL,RUA,DAS PEROBAS,,11/16/2016,21:10:00
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAIS,448,5/19/2016,04:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAIS,,9/10/2016,05:00:00
ROUBO,JARDIM IMPERIAL,RUA,DOS AÇAIS,,9/1/2016,12:10:00
ROUBO,JARDIM IMPERIAL,RUA,DOS AÇAIS,,11/30/2016,11:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAÍS,481,12/12/2016,08:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAÍS,497,11/18/2016,
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAÍS,713,11/4/2016,02:30:00
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAÍS,713,11/4/2016,02:55:00
FURTO,JARDIM IMPERIAL,RUA,DOS AÇAÍS,747,12/23/2016,13:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS ANGICOS,521,7/15/2016,11:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS ANGICOS,986,7/29/2016,05:30:00
FURTO,JARDIM IMPERIAL,RUA,DOS ANGICOS,722,5/26/2016,10:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS ANGICOS,927,10/28/2016,01:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS ANGICOS,1345,7/16/2016,12:00:00
ROUBO,JARDIM IMPERIAL,RUA,DOS ANGICOS,1298D,12/27/2016,20:40:00
ROUBO,JARDIM IMPERIAL,RUA,DOS ANGICOS,,5/7/2016,18:00:00
ROUBO,JARDIM IMPERIAL,RUA,DOS ANGICOS,,12/2/2016,20:00:00
ROUBO,JARDIM IMPERIAL,RUA,DOS ANGICOS,,11/6/2016,18:45:00
FURTO,JARDIM IMPERIAL,RUA,DOS ARAÇAS,498,7/10/2016,01:30:00
FURTO,JARDIM IMPERIAL,RUA,DOS CAJUEIROS,2739,5/12/2016,19:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS CAJUEIROS,2774,9/17/2016,01:00:00
ROUBO,JARDIM IMPERIAL,RUA,DOS CAJUEIROS,,9/16/2016,21:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS EUCALIPTOS,108,12/24/2016,12:50:00
FURTO,JARDIM IMPERIAL,RUA,DOS EUCALIPTOS,872,8/22/2016,16:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS EUCALIPTOS,906,5/13/2016,18:30:00
FURTO,JARDIM IMPERIAL,RUA,DOS EUCALIPTOS,1204,11/28/2016,14:30:00
FURTO,JARDIM IMPERIAL,RUA,DOS EUCALIPTOS,1275,7/4/2016,03:00:00
ROUBO,JARDIM IMPERIAL,RUA,DOS EUCALIPTOS,,12/19/2016,01:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM IMPERIAL,RUA,DOS GUANANDIS,,9/28/2016,23:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,3001,12/22/2016,18:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,3001,12/21/2016,19:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,3109,9/13/2016,07:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,4267,6/23/2016,14:20:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,4411,12/18/2016,19:30:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,9/21/2016,11:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,8/13/2016,21:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,8/1/2016,08:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,7/20/2016,20:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,7/2/2016,20:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,6/19/2016,07:50:00
USO ILÍCITO DE DROGAS,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,6/19/2016,07:50:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,5/7/2016,17:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,5/7/2016,23:30:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,10/4/2016,09:10:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS INGAS,,10/17/2016,21:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGÁS,1103,5/5/2016,16:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGÁS,,7/21/2016,18:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS INGÁS,3001,11/5/2016,07:00:00
HOMICÍDIO DOLOSO,JARDIM IMPERIAL,AVENIDA,DOS IPES,1728,7/17/2016,20:00:00
,JARDIM IMPERIAL,AVENIDA,DOS IPES,1728,7/17/2016,20:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS IPES,,5/3/2016,15:40:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,166,12/25/2016,01:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,753,11/8/2016,09:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,R,10/23/2016,18:20:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,R,10/23/2016,18:20:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,,7/16/2016,22:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,,5/28/2016,21:00:00
HOMICÍDIO DOLOSO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,,5/28/2016,21:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,,10/22/2016,07:05:00
USO ILÍCITO DE DROGAS,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,,10/20/2016,17:40:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,166,5/15/2016,02:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,DOS IPÊS,823,7/29/2016,01:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS MANJOLEIROS,1236,5/30/2016,13:30:00
FURTO,JARDIM IMPERIAL,RUA,DOS MANJOLEIROS,1400,5/20/2016,01:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS MONJOLEIROS,1501,11/16/2016,02:00:00
FURTO,JARDIM IMPERIAL,RUA,DOS MONJOLEIROS,1545,11/20/2016,02:00:00
FURTO,JARDIM IMPERIAL,RUA,EUCALIPTOS,2137,11/23/2016,15:30:00
FURTO,JARDIM IMPERIAL,RUA,EUCALIPTUS,989,12/26/2016,22:30:00
ROUBO,JARDIM IMPERIAL,RUA,EUCALIPTUS,1366,12/26/2016,04:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,FIGUEIRAS,,6/29/2016,21:40:00
FURTO,JARDIM IMPERIAL,RUA,GUANANDIS,299,11/1/2016,03:00:00
FURTO,JARDIM IMPERIAL,RUA,GUANANDIS,,9/17/2016,22:00:00
FURTO,JARDIM IMPERIAL,RUA,GUANANDIS,,8/17/2016,07:30:00
FURTO,JARDIM IMPERIAL,RUA,GUARANDIS,255,8/25/2016,01:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,INGAS,3205,10/4/2016,19:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,INGAS,,9/18/2016,
FURTO,JARDIM IMPERIAL,AVENIDA,INGAS,,10/7/2016,22:00:00
FURTO,JARDIM IMPERIAL,AVENIDA,IPES,737,7/5/2016,
FURTO,JARDIM IMPERIAL,RUA,IPES,,12/9/2016,22:00:00
ROUBO,JARDIM IMPERIAL,AVENIDA,IPÊS,,11/28/2016,21:30:00
FURTO,JARDIM IMPERIAL,AVENIDA,ITAUBAS,,12/6/2016,12:00:00
FURTO,JARDIM IMPERIAL,RUA,JABORANDIS,174,11/16/2016,16:00:00
ROUBO,JARDIM IMPERIAL,RUA,JABORANDIS,46,7/30/2016,11:10:00
ROUBO,JARDIM IMPERIAL,RUA,JABORANDIS,,8/18/2016,18:20:00
FURTO,JARDIM IMPERIAL,RUA,MANJOLEIROS,1036,8/26/2016,02:00:00
FURTO,JARDIM IMPERIAL,RUA,MANJOLEIROS,4515,10/18/2016,06:00:00
ROUBO,JARDIM IMPERIAL,RUA,MARFINS,,11/17/2016,18:00:00
FURTO,JARDIM IMPERIAL,RUA,MARFINS,1617,9/24/2016,07:00:00
ROUBO,JARDIM IMPERIAL,RUA,MARGARIDAS,83,12/4/2016,14:00:00
FURTO,JARDIM IMPERIAL,RUA,MARGARIDAS,333,6/30/2016,07:00:00
FURTO,JARDIM IMPERIAL,RUA,MARGARIDAS,412,12/12/2016,22:00:00
FURTO,JARDIM IMPERIAL,RUA,MONJOLEIROS,1281,12/27/2016,17:00:00
FURTO,JARDIM IMPERIAL,RUA,MONJOLEIROS,1430,10/7/2016,00:00:00
FURTO,JARDIM IMPERIAL,RUA,PAINEIRAS,910,9/20/2016,07:30:00
FURTO,JARDIM IMPERIAL,RUA,PAINEIRAS,4187,11/14/2016,19:15:00
FURTO,JARDIM IMPERIAL,AVENIDA,PALMEIRAS,,11/6/2016,09:00:00
FURTO,JARDIM IMPERIAL,RUA,PEROBAS,1483,12/24/2016,20:00:00
FURTO,JARDIM IMPERIAL,RUA,RUA DOS GUANANDIS,255,11/20/2016,03:00:00
FURTO,JARDIM IMPERIAL,RUA,RUA DOS MARFINS,954,7/22/2016,16:00:00
FURTO,JARDIM IMPERIAL,RUA,RUA DOS MARFINS,1516,10/7/2016,20:00:00
FURTO,JARDIM IMPERIAL,RUA,RUA DOS MARFINS,1594,7/23/2016,10:00:00
FURTO,JARDIM IMPERIAL,,,,5/7/2016,03:00:00
ROUBO,JARDIM IMPERIAL,,,,10/30/2016,05:30:00
ROUBO,JARDIM IMPERIAL,,,,10/22/2016,09:30:00
FURTO,JARDIM IMPERIAL,,,,7/31/2016,04:00:00
